id_producto,id_categoria,nombre,categoria,descripcion,precio de compra,stock
1,1,AMD Ryzen 3 4100,procesador,"Los procesadores AMD son productos de la compañía estadounidense Advanced Micro Devices, Inc. (AMD), que se especializa en semiconductores y tecnología.",80000,5
2,2,AMD Ryzen 5 5600,procesador,"Los procesadores AMD son productos de la compañía estadounidense Advanced Micro Devices, Inc. (AMD), que se especializa en semiconductores y tecnología.",169000,5
3,3,AMD Ryzen 7 5700X,procesador,"Los procesadores AMD son productos de la compañía estadounidense Advanced Micro Devices, Inc. (AMD), que se especializa en semiconductores y tecnología.",234000,5
4,4,AMD Ryzen 9 7950X,procesador,"Los procesadores AMD son productos de la compañía estadounidense Advanced Micro Devices, Inc. (AMD), que se especializa en semiconductores y tecnología.",705000,5
5,5,Intel Core i3 12100F,procesador,Los procesadores Intel son una línea de procesadores fabricados por Intel Corporation que ofrecen un rendimiento potente y eficiente,97000,5
6,6,Intel Core i5 12400F,procesador,Los procesadores Intel son una línea de procesadores fabricados por Intel Corporation que ofrecen un rendimiento potente y eficiente,143000,5
7,7,Intel Core i7 12700KF,procesador,Los procesadores Intel son una línea de procesadores fabricados por Intel Corporation que ofrecen un rendimiento potente y eficiente,332000,5
8,8,Intel Core i9 14900K,procesador,Los procesadores Intel son una línea de procesadores fabricados por Intel Corporation que ofrecen un rendimiento potente y eficiente,669000,5
9,9,ASUS PRIME A520M-K,motherboard,"La motherboard, también conocida como placa base o tarjeta madre, es un componente central de una computadora que se encarga de conectar todos los componentes internos del ordenador: Procesador, Discos duros, Memoria RAM, Tarjeta gráfica, Fuente de alimentación.",75000,10
10,10,ASUS PRIME B650M-A II,motherboard,"La motherboard, también conocida como placa base o tarjeta madre, es un componente central de una computadora que se encarga de conectar todos los componentes internos del ordenador: Procesador, Discos duros, Memoria RAM, Tarjeta gráfica, Fuente de alimentación.",151000,10
11,11,Asrock B660M,motherboard,"La motherboard, también conocida como placa base o tarjeta madre, es un componente central de una computadora que se encarga de conectar todos los componentes internos del ordenador: Procesador, Discos duros, Memoria RAM, Tarjeta gráfica, Fuente de alimentación.",99000,10
12,12,Gigabyte Z791,motherboard,"La motherboard, también conocida como placa base o tarjeta madre, es un componente central de una computadora que se encarga de conectar todos los componentes internos del ordenador: Procesador, Discos duros, Memoria RAM, Tarjeta gráfica, Fuente de alimentación.",252000,10
13,13,ASUS Dual GeForce RTX 3050 6GB,placa de video,"Las tarjetas gráficas Nvidia son dispositivos de alto rendimiento que permiten la representación y el procesamiento de gráficos potentes para su uso en edición de video, videojuegos y otras operaciones informáticas complejas .",229000,5
14,14,ASUS Dual GeForce RTX 4060 Ti 8GB,placa de video,"Las tarjetas gráficas Nvidia son dispositivos de alto rendimiento que permiten la representación y el procesamiento de gráficos potentes para su uso en edición de video, videojuegos y otras operaciones informáticas complejas .",559000,5
15,15,XFX Radeon RX 6650 XT 8GB,placa de video,"Las tarjetas gráficas AMD Radeon son productos de Radeon Technologies Group, una división de AMD",322000,5
16,16,ASUS Dual Radeon RX 7800 XT 16GB,placa de video,"Las tarjetas gráficas AMD Radeon son productos de Radeon Technologies Group, una división de AMD",697000,5
17,17,Memoria GeiL DDR4 16GB (2x8GB) 3200MHz,memoria RAM,La memoria RAM (memoria de acceso aleatorio) es un hardware que se encuentra en la motherboard de una computadora y que almacena temporalmente los datos que el procesador está utilizando,53000,15
18,18,Team DDR5 16GB (2x8GB) 5600MHz,memoria RAM,La memoria RAM (memoria de acceso aleatorio) es un hardware que se encuentra en la motherboard de una computadora y que almacena temporalmente los datos que el procesador está utilizando,71000,15
19,19,Patriot Viper DDR4 32GB (2x16GB) 3600Mhz,memoria RAM,La memoria RAM (memoria de acceso aleatorio) es un hardware que se encuentra en la motherboard de una computadora y que almacena temporalmente los datos que el procesador está utilizando,95000,15
20,20,Team DDR5 32GB (2x16GB) 6400MHz,memoria RAM,La memoria RAM (memoria de acceso aleatorio) es un hardware que se encuentra en la motherboard de una computadora y que almacena temporalmente los datos que el procesador está utilizando,143000,15
21,21,SSD M.2 Team 500GB T-Force Z440 Lite 5000MB/s NVMe PCI-E,almacenamiento,"La memoria SSD, o unidad de estado sólido (SSD), es un dispositivo de almacenamiento que utiliza memoria flash no volátil para almacenar y recuperar datos. A diferencia de los discos duros (HDD), las SSD no tienen partes móviles, como el disco giratorio o los cabezales de lectura y escritura.",60000,15
22,22,SSD M.2 WD 1TB Green SN350 2400MB/s NVMe PCI-E,almacenamiento,"La memoria SSD, o unidad de estado sólido (SSD), es un dispositivo de almacenamiento que utiliza memoria flash no volátil para almacenar y recuperar datos. A diferencia de los discos duros (HDD), las SSD no tienen partes móviles, como el disco giratorio o los cabezales de lectura y escritura.",75000,15
