id_producto,categoria_id,nombre,marca_id,descripcion,precio de compra,stock
1,1,AMD Ryzen 3 4100,1,"Los procesadores AMD son productos de la compañía estadounidense Advanced Micro Devices, Inc. (AMD), que se especializa en semiconductores y tecnología.",80000,5
2,1,AMD Ryzen 5 5600,1,"Los procesadores AMD son productos de la compañía estadounidense Advanced Micro Devices, Inc. (AMD), que se especializa en semiconductores y tecnología.",169000,5
3,1,AMD Ryzen 7 5700X,1,"Los procesadores AMD son productos de la compañía estadounidense Advanced Micro Devices, Inc. (AMD), que se especializa en semiconductores y tecnología.",234000,5
4,1,AMD Ryzen 9 7950X,1,"Los procesadores AMD son productos de la compañía estadounidense Advanced Micro Devices, Inc. (AMD), que se especializa en semiconductores y tecnología.",705000,5
5,1,Intel Core i3 12100F,2,Los procesadores Intel son una línea de procesadores fabricados por Intel Corporation que ofrecen un rendimiento potente y eficiente,97000,5
6,1,Intel Core i5 12400F,2,Los procesadores Intel son una línea de procesadores fabricados por Intel Corporation que ofrecen un rendimiento potente y eficiente,143000,5
7,1,Intel Core i7 12700KF,2,Los procesadores Intel son una línea de procesadores fabricados por Intel Corporation que ofrecen un rendimiento potente y eficiente,332000,5
8,1,Intel Core i9 14900K,2,Los procesadores Intel son una línea de procesadores fabricados por Intel Corporation que ofrecen un rendimiento potente y eficiente,669000,5
9,2,ASUS PRIME A520M-K,3,"La motherboard, también conocida como placa base o tarjeta madre, es un componente central de una computadora que se encarga de conectar todos los componentes internos del ordenador: Procesador, Discos duros, Memoria RAM, Tarjeta gráfica, Fuente de alimentación.",75000,10
10,2,ASUS PRIME B650M-A II,3,"La motherboard, también conocida como placa base o tarjeta madre, es un componente central de una computadora que se encarga de conectar todos los componentes internos del ordenador: Procesador, Discos duros, Memoria RAM, Tarjeta gráfica, Fuente de alimentación.",151000,10
11,2,Asrock B660M,4,"La motherboard, también conocida como placa base o tarjeta madre, es un componente central de una computadora que se encarga de conectar todos los componentes internos del ordenador: Procesador, Discos duros, Memoria RAM, Tarjeta gráfica, Fuente de alimentación.",99000,10
12,2,Gigabyte Z791,5,"La motherboard, también conocida como placa base o tarjeta madre, es un componente central de una computadora que se encarga de conectar todos los componentes internos del ordenador: Procesador, Discos duros, Memoria RAM, Tarjeta gráfica, Fuente de alimentación.",252000,10
13,3,ASUS Dual GeForce RTX 3050 6GB,3,"Las tarjetas gráficas Nvidia son dispositivos de alto rendimiento que permiten la representación y el procesamiento de gráficos potentes para su uso en edición de video, videojuegos y otras operaciones informáticas complejas .",229000,5
14,3,ASUS Dual GeForce RTX 4060 Ti 8GB,3,"Las tarjetas gráficas Nvidia son dispositivos de alto rendimiento que permiten la representación y el procesamiento de gráficos potentes para su uso en edición de video, videojuegos y otras operaciones informáticas complejas .",559000,5
15,3,XFX Radeon RX 6650 XT 8GB,6,"Las tarjetas gráficas AMD Radeon son productos de Radeon Technologies Group, una división de AMD",322000,5
16,3,ASUS Dual Radeon RX 7800 XT 16GB,3,"Las tarjetas gráficas AMD Radeon son productos de Radeon Technologies Group, una división de AMD",697000,5
17,4,Memoria GeiL DDR4 16GB (2x8GB) 3200MHz,7,La memoria RAM (memoria de acceso aleatorio) es un hardware que se encuentra en la motherboard de una computadora y que almacena temporalmente los datos que el procesador está utilizando,53000,15
18,4,Team DDR5 16GB (2x8GB) 5600MHz,8,La memoria RAM (memoria de acceso aleatorio) es un hardware que se encuentra en la motherboard de una computadora y que almacena temporalmente los datos que el procesador está utilizando,71000,15
19,4,Patriot Viper DDR4 32GB (2x16GB) 3600Mhz,9,La memoria RAM (memoria de acceso aleatorio) es un hardware que se encuentra en la motherboard de una computadora y que almacena temporalmente los datos que el procesador está utilizando,95000,15
20,4,Team DDR5 32GB (2x16GB) 6400MHz,8,La memoria RAM (memoria de acceso aleatorio) es un hardware que se encuentra en la motherboard de una computadora y que almacena temporalmente los datos que el procesador está utilizando,143000,15
